Databases  ,Database category,Database scope,Geographic  coverage,Diseases ,Manual Extraction progress
International Clinical Trials registry platform (ICTRP),Procurement & Supply Chain,Global meta-registry aggregating primary trial registries,Global,All diseases,In-progress
WHO ARV and diagnostics demand: forecasting market trends  ,Procurement & Supply Chain,Combined global demand forecasts for antiretroviral medicines and HIV diagnostics,Low- and middle-income countries worldwide,HIV/AIDS (treatment and diagnostic tests),
WHO Drug Regulatory Status ,Regulatory,Information on regulatory status of medicines and regulatory authority performance,Global - WHO-listed authorities and other national regulatory authorities,All therapeutic areas,Not started
WHO EML,Regulatory & Normative Guidance,WHO Model Lists of Essential Medicines for adults and children,Global normative list used by more than 150 countries to guide national EMLs,Broad range of communicable and noncommunicable diseases and health conditions,
WHO Prequalification list (PQ),Regulatory,Global regulatory quality assurance list of health products,"Global (used by LMICs, UN agencies, donors)","HIV, TB, malaria, NTDs, MNCH, COVID-19, diagnostics, vaccines",Not started
Global EML,Regulatory & Normative Guidance,WHO Model Lists of Essential Medicines for adults and children,Global normative list used by more than 150 countries to guide national EMLs,Broad range of communicable and noncommunicable diseases and health conditions,
WHO Global Price Reporting System  ,Procurement & Supply Chain,"Global Price Reporting Mechanism (GPRM) for HIV, TB and malaria health products",Low and middle-income countries reporting procurement transactions,"HIV, Tuberculosis, malaria and related commodities",Not started
WHO Prequalification list (PQ),Regulatory,Global regulatory quality assurance list of health products,"Global (used by LMICs, UN agencies, donors)","HIV, TB, malaria, NTDs, MNCH, COVID-19, diagnostics, vaccines",Not started
Clinicaltrials.gov  ,Global R&D Tracker,Registry and results database of interventional and observational clinical studies,Global- studies from all regions and countries,All diseases and health conditions,In-progress
FDA,Regulatory,,,,Not started
EMA (European Medicines Agency),Regulatory,,,,Not started
Impact Global Health R&D tracker; G-finder financial commitments ,Global R&D Tracker,Global tracking of health R&D investments and financial commitments by disease and product type,"Global - Public, Philanthropic and Industry funders","Neglected diseases, emerging infections and other global health priorities",Completed
Impact Global Health R&D tracker- Maternal health products,Global R&D Tracker,Global tracking of health R&D investments and financial commitments by disease and product type,"Global - Public, Philanthropic and Industry funders","Preeclampsia, Eclampsia, PPH, Maternal Enteric Biocrobia, Preterm labor, IUGR, Fetal distress, ",Not started
Impact Global Health- Gynecological products,National Clinical Trial Registries,Global tracking of health R&D investments and financial commitments by disease and product type,"Global - Public, Philanthropic and Industry funders","Endometriosis, Uterine Fibroid, Polycystic ovarian Syndrom (PCOS)",Not started
UNICEF supply market reports,Procurement & Supply Chain,,,,Not started
UNICEF Supply Catalogue,Procurement & Supply Chain,,,,Not started
MMV antimalarial pipeline ,Disease-Specific Database,Discovery and development pipeline for new antimalarial medicines,Global- with trial activity focused in malaria-endemic countries,Malaria,Completed
AVAC clinical trials database ,Procurement & Supply Chain,Global HIV prevention clinical trials and product pipeline,Global- by country and region,HIV/AIDS - Prevention,In-progress
MPP Access to medicines tracker ,Licensing,"Tracker of medicines under MPP licences, their generic suppliers and country availability",Low- and middle-income countries covered by MPP licence territories,"HIV, hepatitis, tuberculosis, COVID-19 and other priority diseases",In-progress
MPP LAPaL   ,Patent,"Database on patents, licences and technical features of selected long-acting therapeutics",Global - With focus on applications in low- and middle-income countries,"HIV, viral hepatitis, tuberculosis, malaria and other conditions amenable to long-acting formulations",In-progress
MPP MedsPaL  ,Procurement & Supply Chain,"Patents and licences database for essential medicines, vaccines and long-acting technologies",Global patent coverage with emphasis on low- and middle-income countries,"Multiple disease areas including HIV, TB, hepatitis C, NCDs and COVID-19",In-progress
CHAI local vaccine manufacturing database ,Disease-Specific Database,"Database of local and regional vaccine manufacturers, products and capacity","Primarily low- and middle-income countries, with global coverage of manufacturers","Vaccines for preventable diseases (e.g. HPV, PCV, rotavirus, COVID-19 and others)",Not started
DNDi portfolio ,Disease-Specific Database,R&D portfolio of drug candidates and treatment regimens for neglected diseases,"Focus on low- and middle-income countries in Africa, Latin America and Asia","Human African trypanosomiasis, leishmaniasis, Chagas disease, mycetoma, paediatric HIV and other neglected diseases",Completed
FIND DxConnect Test Directory ,Global Health Landscape Reports,"Directory of diagnostic tests with technical, performance and regulatory information",Global- with emphasis on low- and middle-income country use,"Multiple infectious diseases (e.g. HIV, TB, malaria, COVID-19, NTDs and others)",Completed
GF annual reports ,Procurement & Supply Chain,"Annual results, programme performance and high-level financial data for Global Fund grants",Countries receiving Global Fund support worldwide,"HIV, Tuberculosis, Malaria and Health Systems Strengthening",Not started
GF ARV procurement  ,Global Health Landscape Reports,Procurement transaction data for antiretroviral medicines purchased with Global Fund support,Global Fund - Supported countries,HIV/AIDS,Not started
GF data Explorer ,Procurement & Supply Chain,"Interactive data portal on Global Fund investments, results and impact",Global Fund - Implementing countries and regions,"HIV, Tuberculosis, Malaria and Health Systems Strengthening",Not started
GF HIV Transactions  ,Procurement & Supply Chain,Price and quality reporting transactions for HIV-related commodities financed by the Global Fund,Global Fund - HIV grants in low- and middle-income countries,"HIV/AIDS (ARVs, Diagnostics, Condoms and related commodities)",Not started
GF price list ,Funding Agency,"Reference price information for key HIV, TB and malaria commodities sourced through the Global Fund",Global Fund - Low- and Middle-Income countries,"HIV, Tuberculosis, Malaria and related health products",Not started
GHIT fund portfolio ,Manufacturer/Developer,Portfolio of R&D projects funded by the Global Health Innovative Technology (GHIT) Fund,Global projects with emphasis on low- and middle-income country needs,"Neglected tropical diseases, Malaria, Tuberculosis and other poverty-related diseases",Not started
PATH diagnostic manufacturing  ,Procurement & Supply Chain,Dashboards and databases on diagnostic (and sometimes vaccine) manufacturers and capacity,"Focus on manufacturers in low- and middle-income countries, including Latin America, Africa and Asia",Broad range of infectious diseases and other conditions covered by diagnostic products,Not started
PEPFAR database ,Manufacturer/Developer,"Programme results, financial data and approved ARV product information for PEPFAR-supported countries","PEPFAR focus countries in Africa, Asia, Europe, Latin America and the Caribbean",HIV/AIDS,Not started
India’s CTRI,National Clinical Trial Registries,National clinical trial registry,India,All diseases,Not started
China’s ChiCTR,National Clinical Trial Registries,National clinical trial registry,China,All diseases,Not started
Africa’s PACTR,National Clinical Trial Registries,National clinical trial registry,Africa,All diseases,Not started
Brazil’s ReBEC,National Clinical Trial Registries,National clinical trial registry,Brazil,All diseases,Not started
Japan’s jRCT,Disease-Specific Database,National clinical trial registry,Japan,All diseases,In-progress
SAHPRA,Regulatory,,,,Not started
SD Biosensor,Manufacturer/Developer,In-vitro diagnostics manufacturer product portfolio and related company information,Global markets with strong presence in Asia and many low- and middle-income countries,"Multiple conditions including HIV, malaria, COVID-19, diabetes and other diseases",
Walvax ,Manufacturer/Developer,Vaccine manufacturer with licensed and pipeline vaccines,"China with growing international reach, including WHO prequalification pathways","Vaccine-preventable diseases including pneumococcal disease, HPV, COVID-19 and others",
Zhifei Biological ,Manufacturer/Developer,Vaccine company producing and distributing a range of human vaccines,China with collaborations for global markets,"Vaccine-preventable diseases (e.g. meningococcal disease, shingles through partnerships, others)",
GSK pipeline,Manufacturer/Developer,,,,Not started
Pfizer pipeline,Manufacturer/Developer,,,,Not started
Merck pipeline,Manufacturer/Developer,,,,Not started
Janssen R&D pipeline,Procurement & Supply Chain,,,,Not started